Year,Rank,Film,Budget ($),Director,Director Gender,Distributor,Genre,Month
2015,1,Jurassic World,180000000,Colin Trevorrow,Male,Universal,Sci-fi,June
2015,2,Star Wars: Episode VII - The Force Awakens,447000000,JJ Abrams,Male,Walt Disney,Sci-fi,December
2015,3,Avengers: Age of Ultron,470000000,Joss Whedon,Male,Walt Disney,Superhero,May
2015,4,Inside Out,175000000,Pete Docter,Male,Walt Disney,Animation,June
2015,5,Furious 7,190000000,James Wan,Male,Universal,Action,April
2015,6,American Sniper,59000000,Clint Eastwood,Male,Warner Bros,Drama,December
2015,7,Minions,74000000,Pierre Coffin,Male,Universal,Animation,July
2015,8,The Hunger Games: Mockingjay - Part 2,160000000,Francis Lawrence,Male,Lionsgate,Sci-fi,November
2015,9,The Martian,108000000,Ridley Scott,Male,Twentieth Century Fox,Sci-fi,October
2015,10,Cinderella,90000000,Kenneth Branagh,Male,Walt Disney,Musical,March
2016,1,Finding Dory,200000000,Andrew Stanton,Male,Walt Disney,Animation,June
2016,2,Rogue One,230000000,Gareth Edwards,Male,Walt Disney,Sci-fi,December
2016,3,Captain America: Civil War,250000000,The Russo's,Male,Walt Disney,Superhero,May
2016,4,The Secret Life of Pets,75000000,Chris Renaud,Male,Universal,Animation,July
2016,5,The Jungle Book,175000000,Jon Favreau,Male,Walt Disney,Musical,April
2016,6,Deadpool,58000000,Tim Miller,Male,Twentieth Century Fox,Superhero,February
2016,7,Zootopia,150000000,Byron Howard,Male,Walt Disney,Animation,March
2016,8,Batman v Superman,285000000,Zack Snyder,Male,Warner Bros,Superhero,March
2016,9,Suicide Squad,175000000,David Ayer,Male,Warner Bros,Superhero,August
2016,10,Star Wars: Episode VII - The Force Awakens,447000000,JJ Abrams,Male,Walt Disney,Sci-fi,December
2017,1,Star Wars: Episode VIII - The Last Jedi,300000000,Rian Johnson,Male,Walt Disney,Sci-fi,December
2017,2,Beauty and the Beast,210000000,Bill Condon,Male,Walt Disney,Musical,March
2017,3,Wonder Woman,149000000,Patty Jenkins,Female,Warner Bros,Superhero,June
2017,4,Guardians of the Galaxy vol.2,200000000,James Gunn,Male,Walt Disney,Superhero,May
2017,5,Spider-Man: Homecoming,175000000,Jon Watts,Male,Sony Pictures,Superhero,July
2017,6,It,35000000,Andy Muschietti,Male,Warner Bros,Horror,September
2017,7,Thor: Ragnarok,180000000,Taika Waititi,Male,Walt Disney,Superhero,November
2017,8,Despicable Me 3,80000000,Pierre Coffin,Male,Universal,Animation,June
2017,9,Logan,112000000,James Mangold,Male,Twentieth Century Fox,Superhero,March
2017,10,The Fate of the Furious,260000000,F Gary Gray,Male,Universal,Action,April
2018,1,Black Panther,200000000,Ryan Coogler,Male,Walt Disney,Superhero,February
2018,2,Avengers: Infinity War,360000000,The Russo's,Male,Walt Disney,Superhero,April
2018,3,Incredibles 2,200000000,Brad Bird,Male,Walt Disney,Animation,June
2018,4,Jurassic World: Fallen Kingdom,432000000,JA Bayona,Male,Universal,Sci-fi,June
2018,5,Deadpool 2,110000000,David Leitch,Male,Twentieth Century Fox,Superhero,May
2018,6,The Grinch,75000000,Scott Mosier,Male,Universal,Animation,November
2018,7,Jumanji: Welcome to the Jungle,120000000,Jake Kasdan,Male,Sony Pictures,Adventure,December
2018,8,Mission: Impossible Fallout,180000000,Christopher McQuarrie,Male,Paramount,Action,July
2018,9,Ant-Man and the Wasp,160000000,Peyton Reed,Male,Walt Disney,Superhero,July
2018,10,Solo: A Star Wars Story,300000000,Ron Howard,Male,Walt Disney,Sci-fi,May
2019,1,Avengers: Endgame,375000000,The Russo's,Male,Walt Disney,Superhero,April
2019,2,The Lion King,255000000,Jon Favreau,Male,Walt Disney,Musical,July
2019,3,Toy Story 4,200000000,Josh Cooley,Male,Walt Disney,Animation,June
2019,4,Frozen II,150000000,Chris Buck,Male,Walt Disney,Animation,November
2019,5,Captain Marvel,162000000,Anna Boden,Female,Walt Disney,Superhero,March
2019,6,Star Wars: Episode IX - The Rise of Skywalker,416000000,JJ Abrams,Male,Walt Disney,Sci-fi,December
2019,7,Spider-Man: Far From Home,160000000,Jon Watts,Male,Sony Pictures,Superhero,July
2019,8,Aladdin,183000000,Guy Ritchie,Male,Walt Disney,Musical,May
2019,9,Joker,62000000,Todd Phillips,Male,Warner Bros,Drama,October
2019,10,It Chapter 2,79000000,Andy Muschietti,Male,Warner Bros,Horror,September
2020,1,Bad Boys for Life,90000000,Adil and Billal,Male,Sony Pictures,Action,January
2020,2,1917,95000000,Sam Mendes,Male,Universal,Drama,December
2020,3,Sonic the Hedgehog,90000000,Jeff Fowler,Male,Paramount,Comedy,February
2020,4,Jumanji: The Next Level,130000000,Jake Kasdan,Male,Sony Pictures,Adventure,December
2020,5,Star Wars: Episode IX - The Rise of Skywalker,416000000,JJ Abrams,Male,Walt Disney,Sci-fi,December
2020,6,Birds of Prey,90000000,Cathy Yan,Female,Warner Bros,Superhero,February
2020,7,Dolittle,180000000,Stephen Gaghan,Male,Universal,Comedy,January
2020,8,Little Women,40000000,Greta Gerwig,Female,Sony Pictures,Drama,December
2020,9,The Invisible Man,7000000,Leigh Whannell,Male,Universal,Horror,February
2020,10,The Call of the Wild,137000000,Chris Sanders,Male,20th Century Studios,Adventure,February
2021,1,Spider-Man: No Way Home,200000000,Jon Watts,Male,Sony Pictures,Superhero,December
2021,2,Shang-chi and the Legend of the Ten Rings,175000000,Destin Daniel Cretton,Male,Walt Disney,Superhero,September
2021,3,Venom: Let There be Carnage,110000000,Andy Serkis,Male,Sony Pictures,Superhero,October
2021,4,Black Widow,288500000,Cate Shortland,Female,Walt Disney,Superhero,July
2021,5,F9,210000000,Justin Lin,Male,Universal,Action,June
2021,6,Eternals,236200000,Chloe Zhao,Female,Walt Disney,Superhero,November
2021,7,No Time to Die,275000000,Cary Joji Fukunaga,Male,MGM,Action,October
2021,8,A Quiet Place Part II,55000000,John Krasinski,Male,Paramount,Horror,May
2021,9,Ghostbusters: Afterlife,75000000,Jason Reitman,Male,Sony Pictures,Sci-fi,November
2021,10,Free Guy,110000000,Shawn Levy,Male,20th Century Studios,Comedy,August
2022,1,Top Gun: Maverick,170000000,Joseph Kosinski,Male,Paramount,Action,May
2022,2,Black Panther: Wakanda Forever,225000000,Ryan Coogler,Male,Walt Disney,Superhero,November
2022,3,Doctor Strange in the Multiverse of Madnes,295000000,Sam Raimi,Male,Walt Disney,Superhero,May
2022,4,Avatar: The Way of Water,400000000,James Cameron,Male,20th Century Studios,Sci-fi,December
2022,5,Jurassic World Dominion,265000000,Colin Trevorrow,Male,Universal,Sci-fi,June
2022,6,Minions: The Rise of Gru,90000000,Kyle Balda,Male,Universal,Animation,July
2022,7,The Batman,195000000,Matt Reeves,Male,Warner Bros,Superhero,March
2022,8,Thor: Love and Thunder,250000000,Taika Waititi,Male,Walt Disney,Superhero,July
2022,9,Spider-Man: No Way Home,200000000,Jon Watts,Male,Sony Pictures,Superhero,December
2022,10,Sonic the Hedgehog 2,100000000,Jeff Fowler,Male,Paramount,Comedy,April
2023,1,Barbie ,135000000,Greta Gerwig,Female,Warner Bros,Comedy,July
2023,2,The Super Mario Brother Movie,100000000,Aaron Horvarth,Male,Universal,Animation,April
2023,3,Spiderman-Man: Across the Spiderverse,125000000,Joaquim Dos Santos,Male,Columbia Pictures,Animation,June
2023,4,Guardians of the Galaxy vol.3,250000000,James Gunn,Male,Walt Disney,Superhero,May
2023,5,Oppenheimer,100000000,Christopher Nolan,Male,Universal,Drama,July
2023,6,The Little Mermaid,240000000,Rob Marshall,Male,Walt Disney,Musical,May
2023,7,Avatar: The Way of Water,400000000,James Cameron,Male,20th Century Studios,Sci-fi,December
2023,8,Ant-Man and the Wasp: Quantumania,275000000,Peyton Reed,Male,Walt Disney,Superhero,February
2023,9,John Wick: Chapter 4,100000000,Chad Stahelski,Male,Lionsgate,Action,March
2023,10,The Sound of Freedom,14500000,Alejandro Monteverde,Male,Angel Studios,Action,July
2024,1,Inside Out 2,200000000,Kelsey Mann,Male,Walt Disney,Animation,June
2024,2,Deadpool & Wolverine,200000000,Shawn Levy,Male,Walt Disney,Superhero,July
2024,3,Wicked,150000000,Jon M Chu,Male,Universal,Musical,November
2024,4,Moana 2,150000000,Dana Leydoux Miller,Female,Walt Disney,Animation,November
2024,5,Despicable Me 4,100000000,Chris Renaud,Male,Universal,Animation,July
2024,6,Beetlejuice Beetlejuice,100000000,Tim Burton,Male,Warner Bros,Comedy,September
2024,7,Dune: Part Two,190000000,Denis Villeneuve,Male,Warner Bros,Sci-fi,March
2024,8,Twisters,155000000,Lee Isaac Chung,Male,Universal,Action,July
2024,9,Godzilla X Kong: The New Empire,150000000,Adam Wingard,Male,Warner Bros,Sci-fi,March
2024,10,Kung Fu Panda 4,85000000,Mike Mitchell,Male,Universal,Animation,March
